'Elapsed time','EMG'
'seconds','mV'
0.210,0.348
0.210,0.357
0.211,0.307
0.211,0.298
0.211,0.110
0.211,0.170
0.212,-0.392
0.212,-0.197
0.212,-1.187
0.212,-0.798
0.213,-2.118
0.213,-1.690
0.213,-0.485
0.213,-0.433
0.214,0.400
0.214,0.505
0.214,0.370
0.214,0.350
0.215,-0.545
0.215,-0.578
0.215,-0.825
0.215,-0.818
0.216,-0.432
0.216,-0.408
0.216,0.090
0.216,0.107
0.217,0.352
0.217,0.358
0.217,0.420
0.217,0.428
0.218,0.405
0.218,0.402
0.218,0.345
0.218,0.343
0.219,0.290
0.219,0.288
0.219,0.253
0.220,0.253
0.220,0.222
0.220,0.220
0.220,0.183
0.221,0.182
0.221,0.157
0.221,0.157
0.221,0.140
0.222,0.138
0.222,0.112
0.222,0.110
0.222,0.080
0.223,0.080
0.223,0.072
0.223,0.070
0.223,0.077
0.224,0.077
0.224,0.083
0.224,0.083
0.224,0.095
0.225,0.093
0.225,0.113
0.225,0.113
0.225,0.150
0.226,0.152
0.226,0.203
0.226,0.207
0.226,0.313
0.227,0.318
0.227,0.418
0.227,0.423
0.227,0.543
0.228,0.545
0.228,0.178
0.228,0.140
0.228,-0.972
0.229,-1.010
0.229,-1.552
0.229,-1.537
0.229,-0.980
0.230,-0.947
0.230,-0.230
0.230,-0.207
0.230,0.258
0.231,0.272
0.231,0.528
0.231,0.533
0.231,0.560
0.232,0.560
0.232,0.767
0.232,0.785
0.232,1.840
0.233,1.900
0.233,-1.570
0.233,-1.493
0.233,2.885
0.234,-2.167
0.234,-0.735
0.234,-0.692
0.234,-1.102
0.234,-0.900
0.235,-0.055
0.235,-0.023
0.235,0.572
0.235,0.588
0.236,0.793
0.236,0.802
0.236,0.777
0.236,0.775
0.237,0.670
0.237,0.665
0.237,0.525
0.237,0.518
0.238,0.400
0.238,0.397
0.238,0.332
0.238,0.330
0.239,0.292
0.239,0.288
0.239,0.240
0.239,0.237
0.240,0.147
0.240,0.135
0.240,-0.595
0.240,-0.733
0.241,-0.588
0.241,-0.577
0.241,-0.285
0.241,-0.275
0.242,-0.107
0.242,-0.102
0.242,-0.012
0.242,-0.007
0.243,0.078
0.243,0.083
0.243,0.143
0.243,0.147
0.244,0.173
0.244,0.172
0.244,0.178
0.244,0.183
0.245,0.178
0.245,0.180
0.245,0.187
0.245,0.187
0.246,0.178
0.246,0.178
0.246,0.165
0.246,0.167
0.247,0.147
0.247,0.147
0.247,0.130
0.247,0.130
0.248,0.113
0.248,0.112
0.248,0.093
0.248,0.095
0.249,0.078
0.249,0.077
0.249,0.063
0.249,0.063
0.250,0.028
0.250,0.100
0.250,-1.187
0.251,-2.567
0.251,-1.663
0.251,-0.043
0.251,-0.010
0.252,0.373
0.252,0.383
0.252,0.452
0.252,0.430
0.253,0.328
0.253,0.323
0.253,0.213
0.253,0.210
0.254,0.122
0.254,0.118
0.254,0.055
0.254,0.053
0.255,0.018
0.255,0.018
0.255,0.000
0.255,0.002
0.256,-0.005
0.256,-0.003
0.256,0.002
0.256,0.000
0.257,0.007
0.257,0.007
0.257,0.015
0.257,0.015
0.258,0.022
0.258,0.022
0.258,0.012
0.258,0.010
0.259,0.002
0.259,0.003
0.259,-0.003
0.259,-0.002
0.260,0.003
0.260,0.003
0.260,0.000
0.260,0.005
0.261,0.013
0.261,0.013
0.261,0.018
0.261,0.018
0.262,0.023
0.262,0.018
0.262,0.013
0.262,0.017
0.263,0.010
0.263,0.012
0.263,0.005
0.263,0.007
0.264,0.002
0.264,0.002
0.264,0.003
0.264,0.000
0.265,0.007
0.265,0.000
0.265,-0.007
0.265,-0.003
0.266,-0.010
0.266,-0.007
0.266,-0.012
0.266,-0.012
0.267,-0.008
0.267,-0.012
0.267,-0.008
0.267,-0.010
0.268,-0.007
0.268,-0.007
0.268,-0.012
0.268,-0.007
0.269,-0.015
0.269,-0.013
0.269,-0.022
0.269,-0.023
0.270,-0.022
0.270,-0.023
0.270,-0.020
0.270,-0.022
0.271,-0.015
0.271,-0.017
0.271,-0.012
0.271,-0.013
0.272,-0.007
0.272,-0.007
0.272,-0.003
0.272,-0.003
0.273,0.002
0.273,-0.005
0.273,0.000
0.273,-0.002
0.274,-0.008
0.274,-0.008
0.274,-0.020
0.274,-0.020
0.275,-0.025
0.275,-0.025
0.275,-0.028
0.275,-0.030
0.276,-0.023
0.276,-0.018
0.276,-0.025
0.276,-0.027
0.277,-0.023
0.277,-0.025
0.277,-0.018
0.277,-0.018
0.278,-0.023
0.278,-0.027
0.278,-0.020
0.278,-0.020
0.279,-0.015
0.279,-0.013
0.279,-0.010
0.279,-0.008
0.280,-0.012
0.280,-0.010
0.280,-0.005
0.280,-0.007
0.281,-0.003
0.281,-0.005
0.281,0.003
0.281,0.002
0.281,0.007
0.282,0.005
0.282,0.008
0.282,0.010
0.282,0.007
0.283,0.012
0.283,0.008
0.283,0.008
0.283,0.012
0.284,0.012
0.284,0.008
0.284,0.012
0.284,0.015
0.285,0.015
0.285,0.012
0.285,0.012
0.285,0.017
0.286,0.013
0.286,0.017
0.286,0.013
0.286,0.017
0.287,0.015
0.287,0.012
0.287,0.012
0.287,0.008
0.288,0.010
0.288,0.005
0.288,0.008
0.288,0.005
0.289,0.005
0.289,0.010
0.289,0.005
0.289,0.010
0.290,0.010
0.290,0.023
0.290,0.023
0.290,0.035
0.291,0.035
0.291,0.038
0.291,0.037
0.291,0.028
0.292,0.028
0.292,0.002
0.292,0.000
0.292,-0.035
0.293,-0.035
0.293,-0.053
0.293,-0.055
0.293,-0.038
0.294,-0.042
0.294,-0.030
0.294,-0.030
0.294,-0.020
0.295,-0.020
0.295,-0.015
0.295,-0.017
0.295,-0.010
0.296,-0.013
0.296,-0.007
0.296,-0.007
0.296,-0.010
0.297,-0.008
0.297,-0.003
0.297,-0.005
0.297,-0.002
0.298,-0.005
0.298,0.000
0.298,-0.003
0.298,-0.005
0.299,-0.003
0.299,0.000
0.299,-0.002
0.299,-0.007
0.300,-0.005
0.300,-0.002
0.300,-0.005
0.300,-0.012
0.301,-0.008
0.301,-0.015
0.301,-0.013
0.301,-0.017
0.302,-0.017
0.302,-0.012
0.302,-0.015
0.302,-0.010
0.303,-0.013
0.303,-0.007
0.303,-0.010
0.303,-0.005
0.304,-0.008
0.304,-0.005
0.304,-0.008
0.304,-0.005
0.305,-0.008
0.305,0.002
0.305,0.003
0.305,0.010
0.306,0.013
0.306,0.010
0.306,0.010
0.306,0.000
0.307,0.000
0.307,-0.010
0.307,-0.008
0.307,-0.015
0.308,-0.017
0.308,-0.013
0.308,-0.015
0.308,-0.010
0.309,-0.010
0.309,-0.015
0.309,-0.013
0.309,-0.008
0.310,-0.010
0.310,-0.003
0.310,-0.003
0.310,-0.002
0.311,-0.003
0.311,0.003
0.311,0.003
0.311,0.010
0.312,0.012
0.312,0.020
0.312,0.020
0.312,0.025
0.313,0.023
0.313,0.027
0.313,0.028
0.314,0.025
0.314,0.027
0.314,0.038
0.314,0.040
0.315,0.053
0.315,0.053
0.315,0.063
0.315,0.063
0.316,0.072
0.316,0.067
0.316,0.037
0.316,0.037
0.317,-0.003
0.317,-0.003
0.317,-0.032
0.317,-0.033
0.318,-0.062
0.318,-0.062
0.318,-0.072
0.318,-0.067
0.319,-0.053
0.319,-0.052
0.319,-0.043
0.319,-0.045
0.320,-0.035
0.320,-0.035
0.320,-0.018
0.320,-0.018
0.321,-0.007
0.321,-0.007
0.321,0.005
0.321,0.007
0.322,0.002
0.322,0.003
0.322,-0.005
0.322,-0.007
0.323,-0.013
0.323,-0.013
0.323,-0.023
0.323,-0.020
0.324,-0.027
0.324,-0.025
0.324,-0.028
0.324,-0.028
0.325,-0.033
0.325,-0.032
0.325,-0.037
0.325,-0.037
0.326,-0.032
0.326,-0.035
0.326,-0.030
0.326,-0.033
0.327,-0.023
0.327,-0.025
0.327,-0.017
0.327,-0.015
0.328,0.002
0.328,0.002
0.328,0.015
0.328,0.012
0.329,0.022
0.329,0.022
0.329,0.032
0.329,0.030
0.330,0.037
0.330,0.035
0.330,0.042
0.330,0.037
0.331,0.043
0.331,0.040
0.331,0.047
0.331,0.038
0.332,0.042
0.332,0.040
0.332,0.032
